Ticker,Company,Currency,Currency_Name,Last Update
CMCSA,Comcast,USD,US Dollar,
CMA,Comerica,USD,US Dollar,
CAG,Conagra Brands,USD,US Dollar,
COP,ConocoPhillips,USD,US Dollar,
ED,Consolidated Edison,USD,US Dollar,
STZ,Constellation Brands,USD,US Dollar,
CEG,Constellation Energy,USD,US Dollar,
COO,CooperCompanies,USD,US Dollar,
CPRT,Copart,USD,US Dollar,
GLW,Corning Inc.,USD,US Dollar,
CTVA,Corteva,USD,US Dollar,
COST,Costco,USD,US Dollar,
CTRA,Coterra,USD,US Dollar,
CCI,Crown Castle,USD,US Dollar,
CSX,CSX,USD,US Dollar,
CMI,Cummins,USD,US Dollar,
CVS,CVS Health,USD,US Dollar,
DHI,D.R. Horton,USD,US Dollar,
DHR,Danaher Corporation,USD,US Dollar,
DRI,Darden Restaurants,USD,US Dollar,
DVA,DaVita Inc.,USD,US Dollar,
DE,John Deere,USD,US Dollar,
DAL,Delta Air Lines,USD,US Dollar,
XRAY,Dentsply Sirona,USD,US Dollar,
DVN,Devon Energy,USD,US Dollar,
DXCM,Dexcom,USD,US Dollar,
FANG,Diamondback Energy,USD,US Dollar,
DLR,Digital Realty,USD,US Dollar,
DFS,Discover Financial,USD,US Dollar,
DISH,Dish Network,USD,US Dollar,
DIS,Disney,USD,US Dollar,
DG,Dollar General,USD,US Dollar,
DLTR,Dollar Tree,USD,US Dollar,
D,Dominion Energy,USD,US Dollar,
DPZ,Domino's,USD,US Dollar,
DOV,Dover Corporation,USD,US Dollar,
DOW,Dow Inc.,USD,US Dollar,
DTE,DTE Energy,USD,US Dollar,
DUK,Duke Energy,USD,US Dollar,
DRE,Duke Realty,USD,US Dollar,
DD,DuPont,USD,US Dollar,
DXC,DXC Technology,USD,US Dollar,
EMN,Eastman Chemical Company,USD,US Dollar,
ETN,Eaton Corporation,EUR,Euro,
